title,url,date_guess
"Special County Council Meeting (Climate Change, Coastal Erosion, Coastal Flooding & Rising Sea Levels )  - 11th April 2023",https://www.wexfordcoco.ie/sites/default/files/content/Special-Coastal-Erosion-County-Council-Meeting-11.04.23-Minutes.pdf,11th April 2023
County Council Meeting - 11th April 2023,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-11.04.23-Minutes.pdf,11th April 2023
County Council Meeting - 13th March 2023,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-Minutes-13.03.2023.pdf,13th March 2023
County Council Meeting - 13th February 2023,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-Minutes-13.02.23.pdf,13th February 2023
County Council Meeting - 9th January 2023,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-Minutes-09.01.23.pdf,9th January 2023
County Council Meeting - 12th December 2022,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-Minutes-12.12.22.pdf,12th December 2022
Special County Council Meeting (Housing) - 5th December 2022,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Special-Housing-County-Council-Meeting-05.12.22-Minutes.pdf,5th December 2022
Statutory Budget Meeting - 28th November 2022,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Statutory-Budget-Meeting-28.11.22-Minutes.pdf,28th November 2022
County Council Meeting - 14th November 2022,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/County-Council-Meeting-14.11.22-Minutes.pdf,14th November 2022
Special County Council Meeting (Housing) - 14th November 2022,https://www.wexfordcoco.ie/sites/default/files/content/CouncilDemocracy/CouncilMinutes/Special-Housing-County-Council-Meeting-14.11.22-Minutes.pdf,14th November 2022
County Council Meeting - 10th October 2022,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-10.10.22-Minutes.pdf,10th October 2022
County Council Meeting - 12th September 2022,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-12.09.22-Minutes.pdf,12th September 2022
County Council Meeting - 11th July 2022,https://www.wexfordcoco.ie/sites/default/files/content/County-Council-Meeting-11.07.22-Minutes.pdf,11th July 2022
