councillor,meetings_attended,apologies_recorded,motions_proposed,motions_seconded
Ger Kelly,1,0,0,0
Gva Gva,1,0,0,0
Hap Hap,1,1,0,0
Hap Ras,1,0,0,0
Hgv' Td,1,0,0,0
Hynes Hegarty,1,0,2,0
Hynes Jackser,1,0,0,0
Hynes Joe,1,0,0,0
Hynes Pip,1,0,0,0
Hynesdavid Hegartyjohn,1,0,0,0
Ida Ida,1,0,0,0
Ida O'C,1,0,0,0
Ireton Hynes,1,0,0,0
Jackser Online,1,0,0,0
Jackser Whelan,1,0,2,3
Jim Michael,1,0,0,0
Jim O'Rourke,1,0,0,0
Joe Jackser,1,0,0,0
Joe Whelan,1,0,0,0
John Aidan,1,0,0,0
John Dwyer,1,4,14,10
John Forde,1,0,0,0
John Jim,1,0,0,0
John Marty,1,0,0,0
John Mary,1,0,0,0
John Murphy,1,0,0,0
John Willie,1,0,0,0
Kathleen Hynes,1,0,0,0
Kathleen Jim,1,0,0,0
Kathleen John,1,0,0,0
Kavanagh Kavanagh,1,0,0,0
Kavanagh O'Rourke,1,0,0,0
Kavanagh Pip,1,0,0,0
Kavanaghpaddy Iretonrobert,1,0,0,0
Keith Lawlor,1,0,0,0
Kelly Cathal,1,0,0,0
Kelly Jim,1,0,0,0
Kelly Staples,1,0,0,0
Kenny Diarmuid,1,0,0,0
Kenny Kelly,1,0,28,29
Laffan Cathal,1,0,0,0
Laffan Jim,1,0,0,0
Laffan Kenny,1,0,0,0
Laffan Lawlor,1,0,0,0
Laffan Michael,1,0,0,0
Laffan Staples,1,0,0,0
Laffan Whelan,1,0,0,0
Larry Johnny,1,0,0,0
Lawlor Garry,1,0,0,0
Lawlor Jim,1,0,0,0
Lawlorgeorge Kavanaghwillie,1,0,0,0
Leas-Cathaoirleach Councillor,1,0,0,0
Leonard Owens,1,0,0,0
Leonard Willie,1,0,0,0
Lisa George,1,0,0,0
Lisa Michael,1,0,0,0
Lisa Murphy,1,0,0,0
Malcolm Pip,1,0,0,0
Martin Barbara-Anne,1,0,0,0
Mary Anthony,1,0,0,0
Mary Jim,1,0,0,0
Mary Marie,1,0,0,0
Maura Bolger,1,0,0,0
Maura Murphy,1,0,0,0
Mcdonald Ger,1,0,0,0
Mcdonald Lawlor,1,0,9,0
Mcdonald Oliver,1,0,0,0
Michael Mick,1,0,0,0
Moore Anthony,1,0,0,0
Moore Kathleen,1,0,0,0
Moore Lisa,1,0,0,0
Moore Maura,1,0,0,0
Moore Mcdonald,1,0,0,0
Moorejim Mcdonaldlisa,1,0,0,0
Murphy Craig,1,0,0,0
Murphy Diarmuid,1,0,0,0
Murphymartin Murphybarbara-Anne,1,0,0,0
Nicky Boland,1,0,0,2
O'Brien Mythen,1,0,36,47
O'Brienlarry Mythenjohnny,1,0,0,0
O'Rourkejohn O'Connelloisin,1,0,0,0
O'S O'R,1,0,0,0
Ofm O'K,1,1,0,0
Oliver Anthony,1,0,0,0
Oliver Catherine,1,0,0,0
Oliver Michael,1,0,0,0
Online Lisa,1,0,0,0
Owens Fionntain,1,0,0,0
Owens John,1,0,0,0
Owens Paddy,1,0,0,0
Pat Bolger,1,0,0,0
Pat Breen,1,0,0,0
Pat Donohoe,1,0,0,0
Pat Kehoe,1,1,25,27
Pat Moore,1,0,1,0
Pip Hegarty,1,0,0,0
Pyrite Mica,1,0,0,0
Raymond Shannon,1,2,0,7
Robbie Frank,1,0,0,0
Robert David,1,0,0,0
Roche Fionntain,1,0,0,0
Rochemick O'Suilleabhainfionntain,1,0,0,0
Sheehan Leonard,1,0,0,0
Sheehan Sullivan,1,0,0,0
Sipo Sipo,1,0,0,0
Sipo' Ce,1,0,0,0
Spc Lcdc,1,0,0,0
Staples Garry,1,0,0,0
Staples Lawlor,1,0,0,0
Staples Willie,1,0,0,0
Staplesfrank Sheehanmichael,1,0,0,0
Sullivan Devereux,1,0,0,0
Tom Fleming,1,0,0,0
Tom Hynes,1,0,0,0
Tom John,1,0,0,0
Vat Td,1,0,0,0
Walsh David,1,0,0,0
Walsh Walsh,1,0,0,0
