name,party,constituency
Aidan Farrelly,Social Democrats,Kildare North
Frank Feighan,Fine Gael,Sligo-Leitrim
Michael Fitzmaurice,Independent,Roscommon-Galway
Seán Fleming,Fianna Fáil,Laois
Norma Foley,Fianna Fáil,Kerry
Pat Gallagher,Fianna Fáil,Donegal
Gary Gannon,Social Democrats,Dublin Central
James Geoghegan,Fine Gael,Dublin Bay South
Sinéad Gibney,Social Democrats,Dublin Rathdown
Paul Gogarty,Independent,Dublin Mid-West
Thomas Gould,Sinn Féin,Cork North-Central
Ann Graves,Sinn Féin,Dublin Fingal East
Noel Grealish,Independent,Galway West
Johnny Guirke,Sinn Féin,Meath West
Marian Harkin,Independent,Sligo-Leitrim
Simon Harris,Fine Gael,Wicklow
Eoin Hayes,Social Democrats,Dublin Bay South
Séamus Healy,Independent,Tipperary South
Danny Healy-Rae,Independent,Kerry
Michael Healy-Rae,Independent,Kerry
Rory Hearne,Social Democrats,Dublin North-West
Barry Heneghan,Independent,Dublin Bay North
Martin Heydon,Fine Gael,Kildare South
Emer Higgins,Fine Gael,Dublin Mid-West
Alan Kelly,Labour Party,Tipperary North
Eoghan Kenny,Labour Party,Cork North-Central
Martin Kenny,Sinn Féin,Sligo-Leitrim
Keira Keogh,Fine Gael,Mayo
Claire Kerrane,Sinn Féin,Roscommon-Galway
John Lahart,Fianna Fáil,Dublin South-West
James Lawless,Fianna Fáil,Kildare North
Paul Lawless,Aontú,Mayo
George Lawlor,Labour Party,Wexford
Michael Lowry,Independent,Tipperary North
Pádraig Mac Lochlainn,Sinn Féin,Donegal
Micheál Martin,Fianna Fáil,Cork South-Central
David Maxwell,Fine Gael,Cavan-Monaghan
Paul McAuliffe,Fianna Fáil,Dublin North-West
Noel McCarthy,Fine Gael,Cork East
Charlie McConalogue,Fianna Fáil,Donegal
Tony McCormack,Fianna Fáil,Offaly
Mary Lou McDonald,Sinn Féin,Dublin Central
Helen McEntee,Fine Gael,Meath East
Donna McGettigan,Sinn Féin,Clare
Mattie McGrath,Independent,Tipperary South
Séamus McGrath,Fianna Fáil,Cork South-Central
Erin McGreehan,Fianna Fáil,Louth
Conor McGuinness,Sinn Féin,Waterford
John McGuinness,Fianna Fáil,Carlow-Kilkenny
Denise Mitchell,Sinn Féin,Dublin Bay North
Kevin Moran,Independent,Longford-Westmeath
Aindrias Moynihan,Fianna Fáil,Cork North-West
Michael Moynihan,Fianna Fáil,Cork North-West
Shane Moynihan,Fianna Fáil,Dublin Mid-West
Jennifer Murnane O'Connor,Fianna Fáil,Carlow-Kilkenny
Michael Murphy,Fine Gael,Tipperary South
Paul Murphy,Solidarity,Dublin South-West
Verona Murphy,Independent,Wexford
Johnny Mythen,Sinn Féin,Wexford
Shónagh Ní Raghallaigh,Sinn Féin,Kildare South
Gerald Nash,Labour Party,Louth
Hildegarde Naughton,Fine Gael,Galway West
Joe Neville,Fine Gael,Kildare North
Natasha Newsome Drennan,Sinn Féin,Carlow-Kilkenny
Carol Nolan,Independent,Offaly
Darragh O'Brien,Fianna Fáil,Dublin Fingal East
Cian O'Callaghan,Social Democrats,Dublin Bay North
Jim O'Callaghan,Fianna Fáil,Dublin Bay South
Maeve O'Connell,Fine Gael,Dublin Rathdown
James O'Connor,Fianna Fáil,Cork East
Willie O'Dea,Fianna Fáil,Limerick City
Kieran O'Donnell,Fine Gael,Limerick City
Richard O'Donoghue,Independent Ireland,Limerick County
Robert O'Donoghue,Labour Party,Dublin Fingal West
Patrick O'Donovan,Fine Gael,Limerick County
Ken O'Flynn,Independent Ireland,Cork North-Central
Roderic O'Gorman,Green Party,Dublin West
Louis O'Hara,Sinn Féin,Galway East
Ryan O'Meara,Fianna Fáil,Tipperary North
Louise O'Reilly,Sinn Féin,Dublin Fingal West
Darren O'Rourke,Sinn Féin,Meath East
John Paul O'Shea,Fine Gael,Cork North-West
Christopher O'Sullivan,Fianna Fáil,Cork South-West
Pádraig O'Sullivan,Fianna Fáil,Cork North-Central
Liam Quaide,Social Democrats,Cork East
Maurice Quinlivan,Sinn Féin,Limerick City
Pádraig Rice,Social Democrats,Cork South-Central
Neale Richmond,Fine Gael,Dublin Rathdown
Peter Roche,Fine Gael,Galway East
Eamon Scanlon,Fianna Fáil,Sligo-Leitrim
Conor Sheehan,Labour Party,Limerick City
Marie Sherlock,Labour Party,Dublin Central
Brendan Smith,Fianna Fáil,Cavan-Monaghan
Duncan Smith,Labour Party,Dublin Fingal East
Niamh Smyth,Fianna Fáil,Cavan-Monaghan
Brian Stanley,Independent,Laois
Peadar Tóibín,Aontú,Meath West
Edward Timmins,Fine Gael,Wicklow
Gillian Toole,Independent,Meath East
Robert Troy,Fianna Fáil,Longford-Westmeath
Mark Wall,Labour Party,Kildare South
Barry Ward,Fine Gael,Dún Laoghaire
Charles Ward,100% Redress Party,Donegal
Mark Ward,Sinn Féin,Dublin Mid-West
Jennifer Whitmore,Social Democrats,Wicklow
